"year","month","bt_temp"
1999,2,8.634704069
1999,3,7.106927474
1999,4,7.791083231
1999,5,8.534873993
1999,6,9.512306613
1999,7,11.01009516
1999,8,11.54563178
1999,9,13.21719823
1999,10,13.76736545
1999,11,13.84582546
1999,12,12.38192652
2000,1,10.2650239
2000,2,7.409750299
2000,3,7.246444458
2000,4,8.145042161
2000,5,8.940127111
2000,6,10.20361866
2000,7,10.46674104
2000,8,10.57086316
2000,9,11.73095107
2000,10,12.84149483
2000,11,12.09891527
2000,12,9.975194254
2001,1,7.543739266
2001,2,7.107537429
2001,3,6.204016166
2001,4,6.53351884
2001,5,7.484174057
2001,6,9.043142724
2001,7,10.41566568
2001,8,11.35869609
2001,9,12.20484655
2001,10,13.56723474
2001,11,13.50639503
2001,12,12.71154153
2002,1,10.5125062
2002,2,8.790818828
2002,3,8.311521026
2002,4,8.699412138
2002,5,9.245667318
2002,6,9.919618909
2002,7,10.24205595
2002,8,10.4100343
2002,9,11.61673095
2002,10,13.15845324
2002,11,13.37919153
2002,12,11.44746484
2003,1,8.422812163
2003,2,6.278062031
2003,3,5.091462159
2003,4,5.655525856
2003,5,6.690982017
2003,6,8.014614163
2003,7,9.10130672
2003,8,9.987434346
2003,9,11.24188771
2003,10,11.77222786
2003,11,12.42746731
2003,12,10.8330517
2004,1,8.396481693
2004,2,5.621724621
2004,3,4.671433947
2004,4,5.433729594
2004,5,6.269583002
2004,6,6.645341915
2004,7,7.366073276
2004,8,8.116950203
2004,9,9.730930669
2004,10,11.61287704
2004,11,12.24473854
2004,12,10.74571287
2005,1,8.108618676
2005,2,5.771355497
2005,3,5.337202512
2005,4,5.078013435
2005,5,6.635321969
2005,6,8.239367757
2005,7,9.677120539
2005,8,10.91987677
2005,9,10.87779448
2005,10,11.89943733
2005,11,12.68053591
2005,12,11.56704103
2006,1,10.13124842
2006,2,8.771590982
2006,3,7.768591207
2006,4,8.030531369
2006,5,8.790843728
2006,6,9.768132698
2006,7,10.7685203
2006,8,10.88566355
2006,9,12.48716631
2006,10,13.28433865
2006,11,13.14460124
2006,12,12.39910473
2007,1,11.1315439
2007,2,7.797317812
2007,3,6.616522285
2007,4,6.579085417
2007,5,6.390096238
2007,6,7.735659233
2007,7,8.937325345
2007,8,9.37583042
2007,9,10.01219125
2007,10,10.70776933
2007,11,11.15608893
2007,12,9.7976167
2008,1,8.519955613
2008,2,7.388564589
2008,3,7.211395962
2008,4,7.304679399
2008,5,7.855298622
2008,6,9.09643045
2008,7,9.787828103
2008,8,10.27882597
2008,9,10.61066931
2008,10,11.74354713
2008,11,12.41310579
2008,12,12.08044933
2009,1,9.888236558
2009,2,8.271149586
2009,3,7.71032743
2009,4,7.518186981
2009,5,7.917349924
2009,6,8.449339286
2009,7,9.125881352
2009,8,10.26919639
2009,9,11.84284704
2009,10,13.01498041
2009,11,13.71143512
2009,12,12.93885363
2010,1,9.083290873
2010,2,6.822118955
2010,3,5.473656028
2010,4,6.517139671
2010,5,7.831680898
2010,6,8.879670818
2010,7,9.139920007
2010,8,9.658970403
2010,9,11.22184461
2010,10,12.8145345
2010,11,12.6109329
2010,12,10.59262232
2011,1,7.860805201
2011,2,6.407889828
2011,3,6.045297218
2011,4,6.548247627
2011,5,7.374417319
2011,6,8.658232584
2011,7,9.907797295
2011,8,10.06617047
2011,9,11.84732561
2011,10,12.83158441
2011,11,12.81780512
2011,12,13.19815627
2012,1,11.13000453
2012,2,9.984207023
2012,3,9.908603573
2012,4,10.33520442
2012,5,10.66426923
2012,6,10.882278
2012,7,11.41836481
2012,8,11.55582786
2012,9,11.99428436
2012,10,12.43501273
2012,11,13.2668885
2012,12,12.3155567
2013,1,9.924146042
2013,2,7.608002962
2013,3,6.655463253
2013,4,7.265016618
2013,5,8.236669676
2013,6,9.62512154
2013,7,10.74943523
2013,8,11.17114978
2013,9,12.24374129
2013,10,14.12964162
2013,11,14.072392
2013,12,11.92247745
2014,1,9.116614021
2014,2,7.007198705
2014,3,6.510143143
2014,4,6.636390341
2014,5,8.187793365
2014,6,9.641041507
2014,7,11.18258705
2014,8,12.33184849
2014,9,13.1563706
2014,10,14.55664836
2014,11,14.41079658
2014,12,12.40156745
2015,1,10.30732855
2015,2,7.358060514
2015,3,6.812526244
2015,4,7.077714003
2015,5,8.044212275
2015,6,9.406817467
