"year","month","bt_temp"
1999,2,6.331920259
1999,3,6.081814654
1999,4,6.261084825
1999,5,6.376488531
1999,6,6.534023788
1999,7,6.805661245
1999,8,7.43601181
1999,9,7.852863949
1999,10,8.033906498
1999,11,8.650259375
1999,12,9.023669003
2000,1,8.738604521
2000,2,7.860618291
2000,3,7.261393077
2000,4,7.353229148
2000,5,7.202813897
2000,6,7.282114346
2000,7,7.445083618
2000,8,7.72357045
2000,9,7.836675762
2000,10,7.982879525
2000,11,8.408539044
2000,12,8.332698887
2001,1,8.011834939
2001,2,7.936482407
2001,3,7.53275798
2001,4,7.128171278
2001,5,6.853962105
2001,6,6.913734537
2001,7,7.141489746
2001,8,7.375210617
2001,9,7.572946998
2001,10,7.665098786
2001,11,7.67511397
2001,12,7.894602066
2002,1,7.695667641
2002,2,7.124098614
2002,3,7.065149485
2002,4,7.072662687
2002,5,7.034769452
2002,6,7.169730028
2002,7,7.339103908
2002,8,7.602517994
2002,9,8.0655103
2002,10,8.437576537
2002,11,8.701683092
2002,12,8.542465387
2003,1,7.990112897
2003,2,7.171776331
2003,3,6.711393847
2003,4,6.491824428
2003,5,6.392397407
2003,6,6.450313517
2003,7,6.604604209
2003,8,6.746117749
2003,9,7.03653213
2003,10,7.281463688
2003,11,7.56364654
2003,12,7.824935967
2004,1,7.722213372
2004,2,6.919423364
2004,3,6.084895188
2004,4,5.738220764
2004,5,5.586143328
2004,6,5.843409839
2004,7,6.064666447
2004,8,6.041843973
2004,9,6.247017052
2004,10,6.680520703
2004,11,6.978127656
2004,12,6.807316968
2005,1,6.261454228
2005,2,5.878173812
2005,3,5.948322129
2005,4,5.649181046
2005,5,5.688460923
2005,6,6.156079706
2005,7,6.707199678
2005,8,7.125643814
2005,9,7.439314768
2005,10,7.845102335
2005,11,7.944188883
2005,12,7.696727043
2006,1,7.635661072
2006,2,7.399723969
2006,3,7.317656402
2006,4,7.117436671
2006,5,7.0204876
2006,6,7.270531649
2006,7,7.495951893
2006,8,7.71439763
