"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1982","Stratum_1"," [counts*km2/km2]",93886.5871877407,18282.3425990003,0.19472794939752
"2","1982","Stratum_1"," [counts*km2/km2]",249540.933748506,29947.6710552237,0.120011056323952
"3","1982","Stratum_1"," [counts*km2/km2]",66275.0822554963,9719.91893362469,0.146660231912705
"4","1982","Stratum_1"," [counts*km2/km2]",270606.613208401,59302.7942313486,0.219147616269371
"1","1983","Stratum_1"," [counts*km2/km2]",73934.7240367584,15845.503046732,0.214317470622519
"2","1983","Stratum_1"," [counts*km2/km2]",230937.619886702,28869.8241631179,0.125011352317918
"3","1983","Stratum_1"," [counts*km2/km2]",41853.7831880192,5816.97022234858,0.138983140334462
"4","1983","Stratum_1"," [counts*km2/km2]",241468.287867063,43878.4246626228,0.181715061013641
"1","1984","Stratum_1"," [counts*km2/km2]",62240.044856514,12083.6311994582,0.194145605571386
"2","1984","Stratum_1"," [counts*km2/km2]",148214.704239746,20775.419217823,0.140171107343152
"3","1984","Stratum_1"," [counts*km2/km2]",27581.5798195714,4911.91114980346,0.178086649928517
"4","1984","Stratum_1"," [counts*km2/km2]",129571.163375222,26234.8578094402,0.202474509960734
"1","1985","Stratum_1"," [counts*km2/km2]",84589.5597036862,16721.7454106581,0.197680960501907
"2","1985","Stratum_1"," [counts*km2/km2]",200992.370103348,27308.4038532766,0.135867863238962
"3","1985","Stratum_1"," [counts*km2/km2]",73790.3854088064,10379.8675614786,0.140666937894051
"4","1985","Stratum_1"," [counts*km2/km2]",146622.490485298,27777.3126327435,0.189447829871154
"1","1986","Stratum_1"," [counts*km2/km2]",139569.634494154,21941.8417392316,0.157210712908693
"2","1986","Stratum_1"," [counts*km2/km2]",156154.921576006,20135.4895550994,0.128945596795031
"3","1986","Stratum_1"," [counts*km2/km2]",50335.8025820506,6895.17210849785,0.136983454217468
"4","1986","Stratum_1"," [counts*km2/km2]",108438.637924211,21705.8578117557,0.20016719342165
"1","1987","Stratum_1"," [counts*km2/km2]",112326.106109215,18775.9052901388,0.167155311801541
"2","1987","Stratum_1"," [counts*km2/km2]",247302.215005813,26019.5948532838,0.105213755779228
"3","1987","Stratum_1"," [counts*km2/km2]",33057.2907656266,4698.48087739777,0.142131456286288
"4","1987","Stratum_1"," [counts*km2/km2]",478239.415034235,85527.276735414,0.17883778301563
"1","1988","Stratum_1"," [counts*km2/km2]",119670.359287974,18875.7883930053,0.157731526046336
"2","1988","Stratum_1"," [counts*km2/km2]",392407.177232485,35680.9163457945,0.0909282969731593
"3","1988","Stratum_1"," [counts*km2/km2]",68504.6876449432,6647.22953878526,0.0970332070301167
"4","1988","Stratum_1"," [counts*km2/km2]",314873.77410834,67021.0369941334,0.212850489641202
"1","1989","Stratum_1"," [counts*km2/km2]",127128.015866401,20288.1211361264,0.159588120666079
"2","1989","Stratum_1"," [counts*km2/km2]",412500.800539496,35280.3438375394,0.0855279402885946
"3","1989","Stratum_1"," [counts*km2/km2]",51465.832304862,4878.1376666842,0.0947840042261079
"4","1989","Stratum_1"," [counts*km2/km2]",271295.941986558,40048.0468508579,0.147617566844557
"1","1990","Stratum_1"," [counts*km2/km2]",58827.2042609216,10591.0808426194,0.180037126966697
"2","1990","Stratum_1"," [counts*km2/km2]",468802.122009038,44003.594091922,0.0938638969963401
"3","1990","Stratum_1"," [counts*km2/km2]",138856.31373944,11448.7839723909,0.082450582649589
"4","1990","Stratum_1"," [counts*km2/km2]",266604.476468621,41138.2396757524,0.154304384609965
"1","1991","Stratum_1"," [counts*km2/km2]",78974.3083632324,11717.5934262648,0.148372219638458
"2","1991","Stratum_1"," [counts*km2/km2]",306141.984431623,29317.9486357093,0.0957658541677658
"3","1991","Stratum_1"," [counts*km2/km2]",107369.237679273,9561.17732369407,0.0890495036600211
"4","1991","Stratum_1"," [counts*km2/km2]",112396.745011222,25750.5738324371,0.229104266585888
"1","1992","Stratum_1"," [counts*km2/km2]",65782.1599087936,11950.0177061331,0.181660464215552
"2","1992","Stratum_1"," [counts*km2/km2]",280279.11019874,28197.229223324,0.100604105683545
"3","1992","Stratum_1"," [counts*km2/km2]",86671.4121722995,8852.7281622155,0.102141270579699
"4","1992","Stratum_1"," [counts*km2/km2]",92133.4858626242,17447.601076256,0.189373070093877
