"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1982","Stratum_1"," [counts*km^2]",29986.7960402274,7816.43905877609,0.260662694617002
"2","1982","Stratum_1"," [counts*km^2]",242647.763329982,32412.8611146466,0.133579888270257
"3","1982","Stratum_1"," [counts*km^2]",134375.635153079,21789.9692335291,0.162157144103589
"1","1983","Stratum_1"," [counts*km^2]",29226.2573699488,8122.26426108815,0.277909831501028
"2","1983","Stratum_1"," [counts*km^2]",228359.181153026,32869.8224109597,0.143939132400957
"3","1983","Stratum_1"," [counts*km^2]",124002.516236579,19122.3032883205,0.154208994048459
"1","1984","Stratum_1"," [counts*km^2]",27800.6319121539,6102.5972075289,0.21951289549145
"2","1984","Stratum_1"," [counts*km^2]",137510.514554014,21639.2898981004,0.1573646202131
"3","1984","Stratum_1"," [counts*km^2]",102617.210995794,18180.9799173235,0.177172812834181
"1","1985","Stratum_1"," [counts*km^2]",38003.0401662549,9568.85188222763,0.251791747196172
"2","1985","Stratum_1"," [counts*km^2]",204835.496418382,30847.2615056211,0.150595292539604
"3","1985","Stratum_1"," [counts*km^2]",154849.36054567,25787.170185407,0.166530685658218
"1","1986","Stratum_1"," [counts*km^2]",41888.4495870043,10275.594565044,0.245308543676249
"2","1986","Stratum_1"," [counts*km^2]",216969.958983967,31805.6449446241,0.14659008598962
"3","1986","Stratum_1"," [counts*km^2]",110967.15205611,16738.5929705369,0.150842773382821
"1","1987","Stratum_1"," [counts*km^2]",31080.4163735498,7303.03919078463,0.234972373053525
"2","1987","Stratum_1"," [counts*km^2]",255890.486892432,29918.4494907749,0.116918959567855
"3","1987","Stratum_1"," [counts*km^2]",89478.4904699059,11073.5160331372,0.123756178440019
"1","1988","Stratum_1"," [counts*km^2]",67369.4294462254,13590.6017064609,0.201732474479526
"2","1988","Stratum_1"," [counts*km^2]",379366.289797237,39878.0775495284,0.105117609608493
"3","1988","Stratum_1"," [counts*km^2]",140060.821620831,14152.6018272549,0.101046114562775
"1","1989","Stratum_1"," [counts*km^2]",47661.8119773775,9341.63326421521,0.195998281992493
"2","1989","Stratum_1"," [counts*km^2]",399836.754255801,40077.6155406652,0.10023494617262
"3","1989","Stratum_1"," [counts*km^2]",156093.369209877,16823.6273608985,0.107779257030951
"1","1990","Stratum_1"," [counts*km^2]",18152.6524753279,4234.09155028016,0.233249193528875
"2","1990","Stratum_1"," [counts*km^2]",439037.697600602,45087.9300610188,0.102697172264319
"3","1990","Stratum_1"," [counts*km^2]",295198.391772227,30647.2704040512,0.103819232279891
"1","1991","Stratum_1"," [counts*km^2]",42173.7516009124,7252.27541462771,0.171961827898441
"2","1991","Stratum_1"," [counts*km^2]",285034.099396585,30777.4480579629,0.107978126557905
"3","1991","Stratum_1"," [counts*km^2]",198030.786290227,22088.3305817108,0.111539882234972
"1","1992","Stratum_1"," [counts*km^2]",21365.5238150876,4971.2452328414,0.232676028721134
"2","1992","Stratum_1"," [counts*km^2]",311996.903770048,34915.3614298218,0.11190932027824
"3","1992","Stratum_1"," [counts*km^2]",125906.056914434,16036.1558839287,0.127366040021624
"1","1993","Stratum_1"," [counts*km^2]",47249.8981035608,9794.3415552164,0.207288098986997
"2","1993","Stratum_1"," [counts*km^2]",230274.569922237,29635.2552317342,0.128695301620765
"3","1993","Stratum_1"," [counts*km^2]",101939.961152282,13242.4369444266,0.129904276936544
"1","1994","Stratum_1"," [counts*km^2]",18259.1164744941,4386.47200939868,0.240234625565048
"2","1994","Stratum_1"," [counts*km^2]",159946.670067112,19763.7684844404,0.123564738647874
"3","1994","Stratum_1"," [counts*km^2]",60888.0800897925,9833.38890587211,0.161499408281073
"1","1995","Stratum_1"," [counts*km^2]",18504.0989871441,4050.37738754248,0.218890819291256
"2","1995","Stratum_1"," [counts*km^2]",222701.667863348,29512.5685959471,0.132520644677238
"3","1995","Stratum_1"," [counts*km^2]",55755.8544862429,8975.22000223511,0.160973588960952
"1","1996","Stratum_1"," [counts*km^2]",12471.3080494176,3321.33765490136,0.266318307730076
"2","1996","Stratum_1"," [counts*km^2]",191221.063839803,20583.9986592901,0.107645037873728
"3","1996","Stratum_1"," [counts*km^2]",119934.514120503,14538.0900953728,0.121216900756072
"1","1997","Stratum_1"," [counts*km^2]",24364.1041231404,5518.40260489255,0.226497250914772
"2","1997","Stratum_1"," [counts*km^2]",183866.244768711,21936.9521229842,0.119309295464097
"3","1997","Stratum_1"," [counts*km^2]",116314.397466743,17090.8883832172,0.146936997959378
"1","1998","Stratum_1"," [counts*km^2]",16131.4756736844,3995.23483746346,0.247667040404802
"2","1998","Stratum_1"," [counts*km^2]",169047.558824211,18587.1281001304,0.109952064551603
"3","1998","Stratum_1"," [counts*km^2]",61940.7022382427,10154.3780843874,0.163937083653501
"1","1999","Stratum_1"," [counts*km^2]",23731.0611691341,4900.52005194256,0.20650235642713
"2","1999","Stratum_1"," [counts*km^2]",190367.700240467,20474.3108603737,0.107551390464407
"3","1999","Stratum_1"," [counts*km^2]",86972.5839762898,12461.4979362774,0.143280760057383
"1","2000","Stratum_1"," [counts*km^2]",17757.6439319663,3712.96234486769,0.209090933408335
"2","2000","Stratum_1"," [counts*km^2]",198457.886783885,21529.7719457009,0.108485343135525
"3","2000","Stratum_1"," [counts*km^2]",135064.735979575,18194.6007223331,0.134710223141328
"1","2001","Stratum_1"," [counts*km^2]",4782.8125204189,1372.82604256947,0.287033212510121
"2","2001","Stratum_1"," [counts*km^2]",162802.192053838,19266.0471065261,0.118340219277606
"3","2001","Stratum_1"," [counts*km^2]",131109.600345396,17739.2388062724,0.135300838073947
"1","2002","Stratum_1"," [counts*km^2]",18669.9597302546,3995.37776295206,0.214000341761722
"2","2002","Stratum_1"," [counts*km^2]",179875.769761032,19843.0815631971,0.110315478230108
"3","2002","Stratum_1"," [counts*km^2]",170883.337230322,21214.1026732892,0.12414377561398
"1","2003","Stratum_1"," [counts*km^2]",29569.66619427,5093.99825959297,0.172271077601143
"2","2003","Stratum_1"," [counts*km^2]",191692.015761799,18615.3850894893,0.0971109047787426
"3","2003","Stratum_1"," [counts*km^2]",141229.440396929,16807.4501371282,0.119008119623575
"1","2004","Stratum_1"," [counts*km^2]",53608.110686257,6176.08518327923,0.115208036698494
"2","2004","Stratum_1"," [counts*km^2]",177518.224896474,13124.7887308488,0.0739348804242662
"3","2004","Stratum_1"," [counts*km^2]",95422.8208445985,9912.20844587752,0.103876707459949
"1","2005","Stratum_1"," [counts*km^2]",57506.41360448,8742.14788207098,0.152020397971574
"2","2005","Stratum_1"," [counts*km^2]",300395.140724063,20632.7227113436,0.0686852745407635
"3","2005","Stratum_1"," [counts*km^2]",140178.986371134,13787.4850166326,0.0983562898659379
"1","2006","Stratum_1"," [counts*km^2]",33962.5944970495,4455.27220902514,0.131181739057426
"2","2006","Stratum_1"," [counts*km^2]",308666.585496002,21205.6642122213,0.0687008740455195
"3","2006","Stratum_1"," [counts*km^2]",112267.633023113,11664.4724766643,0.103898801128753
"1","2007","Stratum_1"," [counts*km^2]",24179.6301339316,2898.09698474893,0.119856960950035
"2","2007","Stratum_1"," [counts*km^2]",285769.027126339,20167.6439511157,0.0705732323545319
"3","2007","Stratum_1"," [counts*km^2]",87725.4027807747,9406.43341156758,0.107225878860587
"1","2008","Stratum_1"," [counts*km^2]",44447.41921289,6771.0745627024,0.152338981263928
"2","2008","Stratum_1"," [counts*km^2]",215613.559416336,22724.0839554436,0.1053926479251
"3","2008","Stratum_1"," [counts*km^2]",84528.7522544021,10620.4600729812,0.125643166256817
"1","2009","Stratum_1"," [counts*km^2]",129926.470932395,23488.3667176591,0.180781995763441
"2","2009","Stratum_1"," [counts*km^2]",271876.023632885,27702.4697228606,0.101893757870563
"3","2009","Stratum_1"," [counts*km^2]",97813.9896763452,12974.7987452836,0.132647679419024
"1","2010","Stratum_1"," [counts*km^2]",67645.7916004421,11441.6901121377,0.169141196243506
"2","2010","Stratum_1"," [counts*km^2]",237983.252374279,24022.1705566717,0.100940592739239
"3","2010","Stratum_1"," [counts*km^2]",122576.24905583,15713.1459975768,0.128190788334695
"1","2011","Stratum_1"," [counts*km^2]",57367.0907139144,9564.8895819725,0.166731299477464
"2","2011","Stratum_1"," [counts*km^2]",221291.200760282,22117.5151583059,0.0999475581600965
"3","2011","Stratum_1"," [counts*km^2]",85452.1654977887,10441.7254445404,0.122193807303931
"1","2012","Stratum_1"," [counts*km^2]",25721.9381304085,4299.38916076776,0.16714872491218
"2","2012","Stratum_1"," [counts*km^2]",153727.942003748,15332.6894799741,0.0997391188623354
"3","2012","Stratum_1"," [counts*km^2]",45522.7306728703,6774.58864996686,0.148817712598341
"1","2013","Stratum_1"," [counts*km^2]",9606.63179983,2288.47556461543,0.238218307134029
"2","2013","Stratum_1"," [counts*km^2]",201432.451219599,20781.7896222023,0.103170018020315
"3","2013","Stratum_1"," [counts*km^2]",30442.6034314122,5993.78937074864,0.19688819927155
"1","2014","Stratum_1"," [counts*km^2]",39022.0705153101,5996.7684345272,0.153676326123556
"2","2014","Stratum_1"," [counts*km^2]",198096.708826632,18407.7586437001,0.0929230917198625
"3","2014","Stratum_1"," [counts*km^2]",43440.7896314172,5980.12476180013,0.137661511508879
"1","2015","Stratum_1"," [counts*km^2]",27574.3348984065,4777.31013657232,0.17325205319271
