"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"Large","1989 Spring","Stratum_1"," [counts*km2/km2]",1418600.33273847,226178.906346137,0.159438075070461
"Unknown","1989 Spring","Stratum_1"," [counts*km2/km2]",20237028.9972269,4732878.74022623,0.233872212214292
"Small","1989 Fall","Stratum_1"," [counts*km2/km2]",3315939.21770461,914013.611415598,0.275642450421122
"Medium","1989 Fall","Stratum_1"," [counts*km2/km2]",7523026.12164547,1063355.39499958,0.141346763630138
"Large","1989 Fall","Stratum_1"," [counts*km2/km2]",856763.926293382,140612.98284919,0.164121035601398
"Unknown","1989 Fall","Stratum_1"," [counts*km2/km2]",6373745.28289124,1871250.2915792,0.293587240864819
"Small","1990 Spring","Stratum_1"," [counts*km2/km2]",2508131.71950132,545894.66328227,0.217649918079585
"Medium","1990 Spring","Stratum_1"," [counts*km2/km2]",10302538.6302344,1299442.6428541,0.126128393155517
"Large","1990 Spring","Stratum_1"," [counts*km2/km2]",2458467.16312711,326215.811128529,0.132690733486792
"Unknown","1990 Spring","Stratum_1"," [counts*km2/km2]",16789090.663693,3693216.11181055,0.21997713788021
"Small","1990 Fall","Stratum_1"," [counts*km2/km2]",1649186.48910747,502822.428174977,0.304891188168236
"Medium","1990 Fall","Stratum_1"," [counts*km2/km2]",13546551.2054944,1746070.17927337,0.128894074424284
"Large","1990 Fall","Stratum_1"," [counts*km2/km2]",4125190.42493475,515961.055939625,0.125075694159691
"Unknown","1990 Fall","Stratum_1"," [counts*km2/km2]",7899321.63308223,2263759.21553452,0.286576407530228
"Small","1991 Spring","Stratum_1"," [counts*km2/km2]",3348585.2612332,656951.578325077,0.196187800839552
"Medium","1991 Spring","Stratum_1"," [counts*km2/km2]",7561379.60587319,1042743.28451291,0.137903840154113
"Large","1991 Spring","Stratum_1"," [counts*km2/km2]",2121867.39785927,390282.289524543,0.183933402208967
"Unknown","1991 Spring","Stratum_1"," [counts*km2/km2]",5325249.84743296,1352908.30709911,0.254055367515063
"Small","1991 Fall","Stratum_1"," [counts*km2/km2]",2245856.27452558,538396.548429873,0.239728852882006
"Medium","1991 Fall","Stratum_1"," [counts*km2/km2]",7294682.69885156,880695.203523248,0.120731118799986
"Large","1991 Fall","Stratum_1"," [counts*km2/km2]",2778384.59956575,357317.562844913,0.128606227842164
"Unknown","1991 Fall","Stratum_1"," [counts*km2/km2]",9196196.16592636,4594566.160226,0.499615936559698
"Small","1992 Spring","Stratum_1"," [counts*km2/km2]",1087495.25844895,307161.30302197,0.282448406680927
"Medium","1992 Spring","Stratum_1"," [counts*km2/km2]",6688671.47117855,931801.978109322,0.139310471761762
"Large","1992 Spring","Stratum_1"," [counts*km2/km2]",3248658.4679859,493536.356417816,0.151920049854855
"Unknown","1992 Spring","Stratum_1"," [counts*km2/km2]",5382619.6805338,1325377.75637655,0.246232844792986
"Small","1992 Fall","Stratum_1"," [counts*km2/km2]",4574590.56619791,1107513.4135283,0.242101101180906
"Medium","1992 Fall","Stratum_1"," [counts*km2/km2]",5559758.806915,824164.352651967,0.14823742922569
"Large","1992 Fall","Stratum_1"," [counts*km2/km2]",1100168.46714424,204921.77731876,0.186263998140835
"Unknown","1992 Fall","Stratum_1"," [counts*km2/km2]",4831871.59522553,1676152.57205224,0.346895098311072
"Small","1993 Spring","Stratum_1"," [counts*km2/km2]",5062240.0234389,1037124.72431303,0.204874664083684
"Medium","1993 Spring","Stratum_1"," [counts*km2/km2]",7911829.76464789,1234109.12111352,0.155982769830039
"Large","1993 Spring","Stratum_1"," [counts*km2/km2]",2218354.49440797,310454.656285861,0.139948171975424
"Unknown","1993 Spring","Stratum_1"," [counts*km2/km2]",38499630.0251405,8478105.55764781,0.220212650150444
"Small","1993 Fall","Stratum_1"," [counts*km2/km2]",2090957.5993464,689307.645279064,0.329661225791728
"Medium","1993 Fall","Stratum_1"," [counts*km2/km2]",2837180.08328395,611412.043007532,0.21549990661849
"Large","1993 Fall","Stratum_1"," [counts*km2/km2]",166623.608653119,102758.654460045,0.616711252929173
"Unknown","1993 Fall","Stratum_1"," [counts*km2/km2]",5053908.91049206,1727856.18609043,0.341885106497141
"Small","1994 Spring","Stratum_1"," [counts*km2/km2]",1573061.13954436,360714.835880659,0.229307575410033
"Medium","1994 Spring","Stratum_1"," [counts*km2/km2]",3901357.26302118,705688.198612976,0.180882741834953
"Large","1994 Spring","Stratum_1"," [counts*km2/km2]",554427.278145767,172929.031192206,0.311905705236135
"Unknown","1994 Spring","Stratum_1"," [counts*km2/km2]",8181596.49534831,2210380.85195057,0.270164979806483
"Small","1994 Fall","Stratum_1"," [counts*km2/km2]",3983115.127131,978899.039413341,0.2457621756262
"Medium","1994 Fall","Stratum_1"," [counts*km2/km2]",4749552.58032929,792385.662337069,0.166833748850114
"Large","1994 Fall","Stratum_1"," [counts*km2/km2]",781309.557171823,177574.213342951,0.227277666979696
"Unknown","1994 Fall","Stratum_1"," [counts*km2/km2]",12521748.2844016,4067404.12088181,0.324827174967938
"Small","1995 Spring","Stratum_1"," [counts*km2/km2]",1634179.39487915,377716.905858145,0.231135521009355
"Medium","1995 Spring","Stratum_1"," [counts*km2/km2]",5259470.21746881,910468.477802206,0.173110302018286
"Large","1995 Spring","Stratum_1"," [counts*km2/km2]",1038647.71142233,291375.404288278,0.280533429269551
"Unknown","1995 Spring","Stratum_1"," [counts*km2/km2]",8519919.52271149,1858386.37104709,0.218122526403354
"Small","1995 Fall","Stratum_1"," [counts*km2/km2]",707313.923163263,271449.913707491,0.383775725060673
"Medium","1995 Fall","Stratum_1"," [counts*km2/km2]",5386529.93154143,840420.93560281,0.156022698524635
"Large","1995 Fall","Stratum_1"," [counts*km2/km2]",811875.95275005,157805.153181293,0.194371015235471
"Unknown","1995 Fall","Stratum_1"," [counts*km2/km2]",3768843.48069662,1249825.6954472,0.331620483007214
"Small","1996 Spring","Stratum_1"," [counts*km2/km2]",2551439.93345317,774241.661763827,0.303452827406346
"Medium","1996 Spring","Stratum_1"," [counts*km2/km2]",5409496.2354971,876096.343310671,0.161955255197652
"Large","1996 Spring","Stratum_1"," [counts*km2/km2]",1031258.34439082,241818.253626062,0.234488530387513
"Unknown","1996 Spring","Stratum_1"," [counts*km2/km2]",7561150.46578575,1974891.02457702,0.261189224247476
"Small","1996 Fall","Stratum_1"," [counts*km2/km2]",1162287.33104631,355920.024559263,0.306223783957843
"Medium","1996 Fall","Stratum_1"," [counts*km2/km2]",5451910.88923749,679423.37598009,0.124621144729516
"Large","1996 Fall","Stratum_1"," [counts*km2/km2]",1642825.08693658,242042.400466269,0.14733303161179
"Unknown","1996 Fall","Stratum_1"," [counts*km2/km2]",2280400.4081591,755234.887504258,0.331185209756183
"Small","1997 Spring","Stratum_1"," [counts*km2/km2]",3371867.43698309,677017.733342286,0.200784208156188
"Medium","1997 Spring","Stratum_1"," [counts*km2/km2]",5376747.99020786,768516.131092624,0.142933262353424
"Large","1997 Spring","Stratum_1"," [counts*km2/km2]",2567289.41663529,458944.78367375,0.178766281939201
"Unknown","1997 Spring","Stratum_1"," [counts*km2/km2]",3775187.29887213,932146.722333118,0.246914033275012
"Small","1997 Fall","Stratum_1"," [counts*km2/km2]",1234913.15579889,414272.978196324,0.33546729683054
"Medium","1997 Fall","Stratum_1"," [counts*km2/km2]",3227576.72667028,599216.293213847,0.185655166076261
"Large","1997 Fall","Stratum_1"," [counts*km2/km2]",1351685.04585667,280376.718508069,0.207427550794848
"Unknown","1997 Fall","Stratum_1"," [counts*km2/km2]",609747.162503528,300408.816302392,0.492677678185428
"Small","1998 Spring","Stratum_1"," [counts*km2/km2]",8668265.45662999,2455048.81111912,0.283222615112849
"Medium","1998 Spring","Stratum_1"," [counts*km2/km2]",4325294.18358389,715029.691796902,0.165313539714988
"Large","1998 Spring","Stratum_1"," [counts*km2/km2]",1764295.83344523,414295.333687455,0.234821919223398
"Unknown","1998 Spring","Stratum_1"," [counts*km2/km2]",12631070.8302247,2796551.59917082,0.221402574394484
"Small","1998 Fall","Stratum_1"," [counts*km2/km2]",1479024.94021269,443533.71161578,0.29988251012995
"Medium","1998 Fall","Stratum_1"," [counts*km2/km2]",3898954.27812359,522228.295322913,0.1339406051138
"Large","1998 Fall","Stratum_1"," [counts*km2/km2]",723089.920320742,128173.293412204,0.177257751505305
"Unknown","1998 Fall","Stratum_1"," [counts*km2/km2]",744024.315260004,305640.602966854,0.410793836569772
"Small","1999 Spring","Stratum_1"," [counts*km2/km2]",6523231.78711422,1632967.1677774,0.250331004794758
"Medium","1999 Spring","Stratum_1"," [counts*km2/km2]",4681309.17790766,741681.516348159,0.158434636158695
"Large","1999 Spring","Stratum_1"," [counts*km2/km2]",1394542.07292913,294876.082927286,0.211450115884938
"Unknown","1999 Spring","Stratum_1"," [counts*km2/km2]",51453048.5487489,18595592.5477317,0.361408955780597
"Small","1999 Fall","Stratum_1"," [counts*km2/km2]",1330169.3865824,361716.489297704,0.271932652297057
"Medium","1999 Fall","Stratum_1"," [counts*km2/km2]",5064975.6762564,666186.759959089,0.13152812620247
"Large","1999 Fall","Stratum_1"," [counts*km2/km2]",856252.464114829,165867.379952794,0.19371317094458
"Unknown","1999 Fall","Stratum_1"," [counts*km2/km2]",1267766.56599461,425656.042781749,0.335752696276388
"Small","2000 Spring","Stratum_1"," [counts*km2/km2]",2682398.70758656,554166.423684597,0.206593606728658
"Medium","2000 Spring","Stratum_1"," [counts*km2/km2]",6548290.78434078,1046721.64210156,0.15984654264356
"Large","2000 Spring","Stratum_1"," [counts*km2/km2]",1364069.23204205,350829.528182696,0.257193344693725
"Unknown","2000 Spring","Stratum_1"," [counts*km2/km2]",20574242.3233366,4950759.13318788,0.240628989169259
