"HAUL_ID","INDEX_NAME","SURVEY","STOCK","AREA","STRATUM","YEAR","DATE","LAT","LON","COD_N","COD_KG","DEPTH","SURFACE_TE","BOTTOM_TEM","SALINITY","BOTTOM_TYP","SEASON","AGEGROUP","AGE_N","AGE_KG","Data_type","TIME","RESPONSE","AREA_SWEPT","cobble_P","gravel_P","rock_P","mud_P","sand_P","BATHY_DEPT","oisst","rugos","COND","HAUL_ID2","setlat","endlat","setlon","endlon"
"201804_1260_4","NEFSC BTS_WGOM_FALL","NEFSC BTS","WGOM","WGOM",1260,2018,"10/3/2018 00:00:00",42.161475,-70.361035,0,0,62,NA,9.3,NA,NA,"B.FALL","Age0-2",0,0,"Biomass_KG",74,0,0.0384,0,0.2,0,1,1,-59,17.5799999237,0.827950716019,"SMOOTH","2018_FALL_226",42.16147417,42.14479017,-70.3610355,-70.3601675
"201804_1260_5","NEFSC BTS_WGOM_FALL","NEFSC BTS","WGOM","WGOM",1260,2018,"10/3/2018 00:00:00",42.139173,-70.261237,0,0,63,NA,10.5,NA,NA,"B.FALL","Age0-2",0,0,"Biomass_KG",74,0,0.0384,0,0.8,0,0.95,1,-55,17.5799999237,0.627153396606,"SMOOTH","2018_FALL_225",42.13917283,42.12686667,-70.26123733,-70.27276033
"201804_1260_6","NEFSC BTS_WGOM_FALL","NEFSC BTS","WGOM","WGOM",1260,2018,"11/1/2018 00:00:00",42.76909,-70.263702,20,44.571,59,NA,0,NA,NA,"B.FALL","Age0-2",2,0.443,"Count",74,2,0.0384,0,0.7501,0,0.9501,0.9486,-70,11.1799993515,1.22010910511,"ROUGH","2018_FALL_291",42.76908933,42.76492317,-70.2637015,-70.28580733
"201804_1270_1","NEFSC BTS_WGOM_FALL","NEFSC BTS","WGOM","WGOM",1270,2018,"11/1/2018 00:00:00",42.926935,-70.274347,0,0,144,NA,7.8,NA,NA,"B.FALL","Age0-2",0,0,"Biomass_KG",74,0,0.0384,0,0.1503,0,0.6975,0.6886,-150,11.1799993515,0.853262543678,"SMOOTH","2018_FALL_289",42.92693567,42.93680517,-70.27434683,-70.293077
"201804_1270_2","NEFSC BTS_WGOM_FALL","NEFSC BTS","WGOM","WGOM",1270,2018,"11/1/2018 00:00:00",42.895048,-70.056053,6,18.955,117,NA,8.4,NA,NA,"B.FALL","Age0-2",0,0,"Biomass_KG",74,0,0.0384,1,0.5003,0,0.6507,0.9298,-119,11.3199996948,1.2606729269,"ROUGH","2018_FALL_287",42.895048,42.88520983,-70.05605267,-70.07358983
"201804_1270_3","NEFSC BTS_WGOM_FALL","NEFSC BTS","WGOM","WGOM",1270,2018,"11/1/2018 00:00:00",42.887587,-69.977483,0,0,185,NA,7.2,NA,NA,"B.FALL","Age0-2",0,0,"Biomass_KG",74,0,0.0384,0,0.2976,0,0.7506,0.7521,-179,11.4899997711,1.00641870499,"SMOOTH","2018_FALL_286",42.887587,42.87216483,-69.97748267,-69.987078
"201804_1270_4","NEFSC BTS_WGOM_FALL","NEFSC BTS","WGOM","WGOM",1270,2018,"11/1/2018 00:00:00",42.76289,-70.000395,0,0,186,NA,6.8,NA,NA,"B.FALL","Age0-2",0,0,"Biomass_KG",74,0,0.0384,0,0.5987,0,1,0.9508,-174,11.3199996948,0.812655031681,"SMOOTH","2018_FALL_284",42.76288967,42.74811967,-70.00039567,-69.989023
"201804_1270_5","NEFSC BTS_WGOM_FALL","NEFSC BTS","WGOM","WGOM",1270,2018,"11/1/2018 00:00:00",43.095945,-70.319127,0,0,131,NA,0,NA,NA,"B.FALL","Age0-2",0,0,"Biomass_KG",74,0,0.0384,0,0.3989,0,0.8003,0.7922,-116,11.0100002289,0.86612868309,"SMOOTH","2018_FALL_288",43.09594517,43.07915617,-70.31912633,-70.32098817
"201804_1280_1","NEFSC BTS_WGOM_FALL","NEFSC BTS","WGOM","WGOM",1280,2018,"10/17/2018 00:00:00",42.370088,-69.815385,0,0,251,NA,7.8,NA,NA,"B.FALL","Age0-2",0,0,"Biomass_KG",74,0,0.0384,0,0.1978,0,0.9559,0.9143,-249,14.0399999619,0.545281410217,"SMOOTH","2018_FALL_270",42.37008783,42.385759,-69.81538433,-69.82170383
"201804_1280_2","NEFSC BTS_WGOM_FALL","NEFSC BTS","WGOM","WGOM",1280,2018,"10/13/2018 00:00:00",42.133082,-69.418105,0,0,208,NA,6.9,NA,NA,"B.FALL","Age0-2",0,0,"Biomass_KG",74,0,0.0384,0,0.2498,0,1,1,-198,16.6700000763,0.678922712803,"SMOOTH","2018_FALL_252",42.13308117,42.14254567,-69.41810567,-69.436811
