INDEX_NAME,SURVEY,STOCK,AREA,STRATUM,YEAR,HAUL_ID,DATE,COD_N,COD_KG,DEPTH,SURFACE_TE,BOTTOM_TEM,SALINITY,BOTTOM_TYP,SEASON,AGEGROUP,AGE_N,AGE_KG,Data_type,TIME,RESPONSE,AREA_SWEPT,cobble_P,gravel_P,rock_P,mud_P,sand_P,BATHY_DEPT,oisst,rugos,COND,BATHY.DEPTH,dep.strat,lon,lat
NEFSC BTS_WGOM_FALL,NEFSC BTS,WGOM,WGOM,1260,2016,201604_1260_4,10/22/2016 00:00,8,22.093,90,NA,0,NA,NA,B.FALL,Age0-2,0,0,Count,70,0,0.0384,0,1,0,1,1,-83,14.94999981,0.612454891,SMOOTH,83,shallow,-70.094308,42.412768
NEFSC BTS_WGOM_FALL,NEFSC BTS,WGOM,WGOM,1260,2017,201704_1260_1,11/2/2017 00:00,1,2.99,67,NA,0,NA,NA,B.FALL,Age0-2,0,0,Biomass_KG,72,0,0.0384,0,0.8,0,1,1,-73,13.03999996,0.68495512,SMOOTH,73,shallow,-70.199073,42.416208
NEFSC BTS_WGOM_SPRING,NEFSC BTS,WGOM,WGOM,1260,2019,201902_1260_5,5/12/2019 00:00,14,15.64,83,NA,4.6,NA,NA,A.SPRING,Age0-2,0,0,Biomass_KG,75,0,0.0384,0,0.8999,0,0.95,1,-79,9.68999958,-0.957714319,SMOOTH,79,shallow,-70.152167,42.434167
NEFSC BTS_WGOM_SPRING,NEFSC BTS,WGOM,WGOM,1260,2016,201602_1260_3,6/3/2016 00:00,0,0,96,NA,0,NA,NA,A.SPRING,Age0-2,0,0,Biomass_KG,69,0,0.0384,0,0.6998,0,0.9498,0.9376,-70,14.46999931,1.541855693,ROUGH,70,shallow,-70.309137,42.457402
NEFSC BTS_WGOM_SPRING,NEFSC BTS,WGOM,WGOM,1260,2017,201702_1260_4,5/11/2017 00:00,17,26.503,60,NA,0,NA,NA,A.SPRING,Age0-2,0,0,Biomass_KG,71,0,0.0384,0,0.85,0,0.9499,0.9512,-57,9.489999771,0.59694618,SMOOTH,57,shallow,-70.563727,42.467245
NEFSC BTS_WGOM_SPRING,NEFSC BTS,WGOM,WGOM,1260,2018,201802_1260_2,5/11/2018 00:00,14,8.032,57,NA,4.7,NA,NA,A.SPRING,Age0-2,1,0.101,Count,73,1,0.0384,0,0.9,0,0.95,0.9496,-57,10.05999947,0.59694618,SMOOTH,57,shallow,-70.565665,42.467528
NEFSC BTS_WGOM_FALL,NEFSC BTS,WGOM,WGOM,1260,2021,202104_1260_3,11/11/2021 00:00,1,0.899,86,NA,12.4,NA,NA,B.FALL,Age0-2,0,0,Biomass_KG,80,0,0.0384,0,0.5502,0,0.9501,0.9503,-67,11.86999989,0.718231916,SMOOTH,67,shallow,-70.478667,42.475167
NEFSC BTS_WGOM_SPRING,NEFSC BTS,WGOM,WGOM,1260,2021,202102_1260_5,4/25/2021 00:00,0,0,139,NA,5.8,NA,NA,A.SPRING,Age0-2,0,0,Biomass_KG,79,0,0.0384,0,0.6,0,0.9499,0.9507,-98,6.980000019,1.524459004,ROUGH,98,shallow,-70.336667,42.477833
NEFSC BTS_WGOM_SPRING,NEFSC BTS,WGOM,WGOM,1270,2017,201702_1270_4,5/3/2017 00:00,1,3.68,170,NA,6.2,NA,NA,A.SPRING,Age0-2,0,0,Biomass_KG,71,0,0.0384,0,0.545,0,1,1,-162,7.759999752,0.724722743,SMOOTH,162,deep,-69.951,42.495167
NEFSC BTS_WGOM_FALL,NEFSC BTS,WGOM,WGOM,1260,2017,201704_1260_4,11/2/2017 00:00,1,1.74,86,NA,0,NA,NA,B.FALL,Age0-2,0,0,Biomass_KG,72,0,0.0384,0,0.7001,0,1,1,-80,11.78999996,0.879849494,SMOOTH,80,shallow,-70.500183,42.504227
NEFSC BTS_WGOM_SPRING,NEFSC BTS,WGOM,WGOM,1260,2019,201902_1260_4,5/10/2019 00:00,1,6.224,70,NA,4.4,NA,NA,A.SPRING,Age0-2,0,0,Biomass_KG,75,0,0.0384,0,0.3501,0,0.8501,0.8614,-68,10.14999962,0.603412509,SMOOTH,68,shallow,-70.595333,42.517
NEFSC BTS_WGOM_SPRING,NEFSC BTS,WGOM,WGOM,1280,2017,201702_1280_2,5/3/2017 00:00,0,0,216,NA,7.2,NA,NA,A.SPRING,Age0-2,0,0,Biomass_KG,71,0,0.0384,0,0.3431,0,0.9476,0.8997,-206,7.529999733,0.956976891,ROUGH,206,deep,-69.8655,42.529167
NEFSC BTS_WGOM_SPRING,NEFSC BTS,WGOM,WGOM,1280,2017,201702_1280_3,5/3/2017 00:00,0,0,264,NA,8.5,NA,NA,A.SPRING,Age0-2,0,0,Biomass_KG,71,0,0.0384,0,0,0,0.9489,0.8022,-255,7.419999599,0.711337745,ROUGH,255,deep,-69.618667,42.5395
NEFSC BTS_WGOM_FALL,NEFSC BTS,WGOM,WGOM,1270,2019,201904_1270_5,11/2/2019 00:00,1,6.526,143,NA,7.5,NA,NA,B.FALL,Age0-2,0,0,Biomass_KG,76,0,0.0384,0,1,0,1,1,-140,12.57999992,0.141393811,SMOOTH,140,deep,-70.026812,42.552552
NEFSC BTS_WGOM_FALL,NEFSC BTS,WGOM,WGOM,1280,2016,201604_1280_1,11/2/2016 00:00,0,0,259,NA,8.7,NA,NA,B.FALL,Age0-2,0,0,Biomass_KG,70,0,0.0384,0,0,0,0.954,0.8551,-251,11.77999973,1.060173631,ROUGH,251,deep,-69.69343,42.556935
NEFSC BTS_WGOM_FALL,NEFSC BTS,WGOM,WGOM,1260,2017,201704_1260_6,11/2/2017 00:00,17,90.487,100,NA,7.9,NA,NA,B.FALL,Age0-2,0,0,Count,72,0,0.0384,0,1,0,0.95,1,-87,12.82999992,0.909858108,SMOOTH,87,shallow,-70.128492,42.559297
NEFSC BTS_WGOM_FALL,NEFSC BTS,WGOM,WGOM,1280,2017,201704_1280_8,11/2/2017 00:00,0,0,191,NA,7.9,NA,NA,B.FALL,Age0-2,0,0,Biomass_KG,72,0,0.0384,0,0.4351,0,0.8423,0.8103,-181,13.22999954,1.105769277,ROUGH,181,deep,-69.885568,42.593565
NEFSC BTS_WGOM_SPRING,NEFSC BTS,WGOM,WGOM,1260,2018,201802_1260_6,5/11/2018 00:00,8,27.566,92,NA,5,NA,NA,A.SPRING,Age0-2,0,0,Biomass_KG,73,0,0.0384,0,0.8001,0,0.9008,1,-87,9.43999958,1.154929876,ROUGH,87,shallow,-70.337403,42.598532
NEFSC BTS_WGOM_SPRING,NEFSC BTS,WGOM,WGOM,1280,2019,201902_1280_2,5/11/2019 00:00,0,0,270,NA,7.9,NA,NA,A.SPRING,Age0-2,0,0,Biomass_KG,75,0,0.0384,0,0,0,0.9537,0.8552,-269,8.779999733,0.719222724,ROUGH,269,deep,-69.664333,42.617667
NEFSC BTS_WGOM_SPRING,NEFSC BTS,WGOM,WGOM,1280,2019,201902_1280_7,5/11/2019 00:00,0,0,240,NA,7.6,NA,NA,A.SPRING,Age0-2,0,0,Biomass_KG,75,0,0.0384,0,0.4343,0,0.8204,0.8474,-232,8.38999939,0.753225327,ROUGH,232,deep,-69.391667,42.637167
NEFSC BTS_WGOM_SPRING,NEFSC BTS,WGOM,WGOM,1260,2019,201902_1260_1,5/11/2019 00:00,3,1.89,91,NA,4.7,NA,NA,A.SPRING,Age0-2,0,0,Biomass_KG,75,0,0.0384,1,0.8,1,0.9,1,-87,9.659999847,0.411362916,SMOOTH,87,shallow,-70.215833,42.670167
NEFSC BTS_WGOM_SPRING,NEFSC BTS,WGOM,WGOM,1270,2019,201902_1270_5,5/11/2019 00:00,0,0,184,NA,7.4,NA,NA,A.SPRING,Age0-2,0,0,Biomass_KG,75,0,0.0384,0,0.6985,0,0.8924,0.8122,-174,9.210000038,1.082711816,SMOOTH,174,deep,-69.969,42.6925
NEFSC BTS_WGOM_FALL,NEFSC BTS,WGOM,WGOM,1270,2016,201604_1270_3,10/24/2016 00:00,0,0,182,NA,7.8,NA,NA,B.FALL,Age0-2,0,0,Biomass_KG,70,0,0.0384,0,0.6992,0,0.8964,0.8639,-139,13.21999931,1.314720869,ROUGH,139,deep,-70.021135,42.704288
NEFSC BTS_WGOM_SPRING,NEFSC BTS,WGOM,WGOM,1260,2016,201602_1260_6,6/2/2016 00:00,1,0.582,60,NA,5.6,NA,NA,A.SPRING,Age0-2,0,0,Biomass_KG,69,0,0.0384,0,0.8002,0,0.9501,0.9527,-59,13.79999924,1.039730191,ROUGH,59,shallow,-70.31562,42.719592
NEFSC BTS_WGOM_FALL,NEFSC BTS,WGOM,WGOM,1260,2016,201604_1260_1,10/24/2016 00:00,25,65.912,65,NA,9.8,NA,NA,B.FALL,Age0-2,0,0,Count,70,0,0.0384,0,0.7501,0,0.8999,0.902,-57,13.46999931,0.941844642,SMOOTH,57,shallow,-70.286328,42.750713
NEFSC BTS_WGOM_SPRING,NEFSC BTS,WGOM,WGOM,1370,2016,201602_1370_6,6/1/2016 00:00,0,0,179,NA,6.4,NA,NA,A.SPRING,Age0-2,0,0,Biomass_KG,69,0,0.0384,0,0.8988,0,0.8957,0.868,-171,11.40999985,0.6821118,SMOOTH,171,deep,-69.060355,42.756918
NEFSC BTS_WGOM_SPRING,NEFSC BTS,WGOM,WGOM,1370,2016,201602_1370_4,6/1/2016 00:00,136,168.319,70,NA,6.3,NA,NA,A.SPRING,Age0-2,0,0,Count,69,0,0.0384,0,0.9,0,0.4,1,-81,11.71999931,0.934580326,ROUGH,81,shallow,-69.304292,42.758172
NEFSC BTS_WGOM_SPRING,NEFSC BTS,WGOM,WGOM,1260,2018,201802_1260_5,5/11/2018 00:00,0,0,92,NA,4.7,NA,NA,A.SPRING,Age0-2,0,0,Biomass_KG,73,0,0.0384,0,0.7503,0,0.9501,0.9527,-85,9.550000191,-0.608435333,SMOOTH,85,shallow,-70.402487,42.75848
NEFSC BTS_WGOM_FALL,NEFSC BTS,WGOM,WGOM,1280,2018,201804_1280_4,11/1/2018 00:00,0,0,204,NA,7.3,NA,NA,B.FALL,Age0-2,0,0,Biomass_KG,74,0,0.0384,0,0.2412,0,0.7282,0.9179,-207,11.61999989,0.82971406,ROUGH,207,deep,-69.549968,42.764812
NEFSC BTS_WGOM_FALL,NEFSC BTS,WGOM,WGOM,1260,2018,201804_1260_6,11/1/2018 00:00,20,44.571,59,NA,0,NA,NA,B.FALL,Age0-2,2,0.443,Count,74,2,0.0384,0,0.7501,0,0.9501,0.9486,-70,11.17999935,1.220109105,ROUGH,70,shallow,-70.263702,42.76909
NEFSC BTS_WGOM_SPRING,NEFSC BTS,WGOM,WGOM,1260,2017,201702_1260_6,5/11/2017 00:00,5,7.835,104,NA,4.5,NA,NA,A.SPRING,Age0-2,0,0,Biomass_KG,71,0,0.0384,0,0.7999,0,1,1,-97,8.920000076,0.836475968,SMOOTH,97,shallow,-70.442253,42.775397
NEFSC BTS_WGOM_SPRING,NEFSC BTS,WGOM,WGOM,1280,2019,201902_1280_6,5/11/2019 00:00,0,0,262,NA,7.9,NA,NA,A.SPRING,Age0-2,0,0,Biomass_KG,75,0,0.0384,0,0.0559,0,0.8276,0.7266,-268,8.920000076,0.972934127,ROUGH,268,deep,-69.691333,42.778333
NEFSC BTS_WGOM_SPRING,NEFSC BTS,WGOM,WGOM,1400,2021,202102_1400_2,4/25/2021 00:00,0,0,98,NA,5.8,NA,NA,A.SPRING,Age0-2,0,0,Biomass_KG,79,0,0.0384,0,0.3504,0,1,0.9516,-90,6.909999847,0.826598465,SMOOTH,90,shallow,-70.561333,42.7815
NEFSC BTS_WGOM_FALL,NEFSC BTS,WGOM,WGOM,1260,2018,201804_1260_2,11/1/2018 00:00,24,66.079,80,NA,0,NA,NA,B.FALL,Age0-2,1,0.355,Count,74,1,0.0384,0,0.7496,0,0.8995,0.8768,-71,11.31999969,0.894538105,SMOOTH,71,shallow,-70.15075,42.793277
NEFSC BTS_WGOM_SPRING,NEFSC BTS,WGOM,WGOM,1370,2021,202102_1370_2,5/24/2021 00:00,0,0,81,NA,6.7,NA,NA,A.SPRING,Age0-2,0,0,Biomass_KG,79,0,0.0384,1,0.65,0,0.6001,1,-115,11.77999973,1.470006585,ROUGH,115,deep,-69.2655,42.7945
NEFSC BTS_WGOM_SPRING,NEFSC BTS,WGOM,WGOM,1400,2019,201902_1400_1,5/10/2019 00:00,3,13.93,115,NA,4.5,NA,NA,A.SPRING,Age0-2,0,0,Biomass_KG,75,0,0.0384,0,0.5494,0,0.9496,0.8924,-104,10.05000019,0.368638366,SMOOTH,104,shallow,-70.5245,42.809833
NEFSC BTS_WGOM_SPRING,NEFSC BTS,WGOM,WGOM,1260,2016,201602_1260_4,6/2/2016 00:00,39,70.638,53,NA,0,NA,NA,A.SPRING,Age0-2,0,0,Biomass_KG,69,0,0.0384,0,0.3488,0,0.6462,0.6104,-96,13.56999969,1.210813046,ROUGH,96,shallow,-70.32994,42.814698
NEFSC BTS_WGOM_FALL,NEFSC BTS,WGOM,WGOM,1370,2016,201604_1370_2,10/25/2016 00:00,89,219.298,77,NA,8.5,NA,NA,B.FALL,Age0-2,0,0,Count,70,0,0.0384,1,0.8,0,0.45,1,-69,12.55999947,0.633847713,SMOOTH,69,shallow,-69.310328,42.815193
NEFSC BTS_WGOM_SPRING,NEFSC BTS,WGOM,WGOM,1280,2016,201602_1280_4,6/2/2016 00:00,0,0,210,NA,6.6,NA,NA,A.SPRING,Age0-2,0,0,Biomass_KG,69,0,0.0384,0,0.3961,0,0.7922,0.7206,-216,13.11999989,0.131574795,SMOOTH,216,deep,-69.940677,42.837023
NEFSC BTS_WGOM_FALL,NEFSC BTS,WGOM,WGOM,1260,2021,202104_1260_2,11/10/2021 00:00,40,43.433,55,NA,0,NA,NA,B.FALL,Age0-2,11,5.5,Count,80,11,0.0384,0,0.5977,0,0.7441,0.7782,-55,12.09000015,1.073240876,ROUGH,55,shallow,-70.2115,42.837167
NEFSC BTS_WGOM_FALL,NEFSC BTS,WGOM,WGOM,1370,2018,201804_1370_5,11/1/2018 00:00,1,3.566,151,NA,7.9,NA,NA,B.FALL,Age0-2,0,0,Biomass_KG,74,0,0.0384,0,0.4999,0,0.7505,1,-140,11.63999939,1.344924212,ROUGH,140,deep,-69.39892,42.841003
NEFSC BTS_WGOM_FALL,NEFSC BTS,WGOM,WGOM,1280,2016,201604_1280_7,10/25/2016 00:00,0,0,224,NA,8.3,NA,NA,B.FALL,Age0-2,0,0,Biomass_KG,70,0,0.0384,0,0.1105,0,0.7329,0.6939,-229,12.47999954,0.91905725,ROUGH,229,deep,-69.729193,42.846685
NEFSC BTS_WGOM_FALL,NEFSC BTS,WGOM,WGOM,1260,2016,201604_1260_5,10/24/2016 00:00,73,203.556,60,NA,11.7,NA,NA,B.FALL,Age0-2,0,0,Count,70,0,0.0384,0,0.598,0,0.6926,0.7754,-56,13,1.093131065,ROUGH,56,shallow,-70.194138,42.852485
NEFSC BTS_WGOM_FALL,NEFSC BTS,WGOM,WGOM,1260,2019,201904_1260_7,11/9/2019 00:00,17,23.494,62,NA,0,NA,NA,B.FALL,Age0-2,2,0,Count,76,2,0.0384,0,0.5005,0,0.6508,0.8344,-59,10.63000011,1.067299247,ROUGH,59,shallow,-70.147302,42.868668
NEFSC BTS_WGOM_FALL,NEFSC BTS,WGOM,WGOM,1370,2021,202104_1370_3,11/10/2021 00:00,0,0,171,NA,8.3,NA,NA,B.FALL,Age0-2,0,0,Biomass_KG,80,0,0.0384,0,0.393,0,0.8421,0.8055,-171,12.30999947,0.246591508,SMOOTH,171,deep,-69.558667,42.876667
NEFSC BTS_WGOM_FALL,NEFSC BTS,WGOM,WGOM,1270,2018,201804_1270_3,11/1/2018 00:00,0,0,185,NA,7.2,NA,NA,B.FALL,Age0-2,0,0,Biomass_KG,74,0,0.0384,0,0.2976,0,0.7506,0.7521,-179,11.48999977,1.006418705,SMOOTH,179,deep,-69.977483,42.887587
NEFSC BTS_WGOM_SPRING,NEFSC BTS,WGOM,WGOM,1400,2017,201702_1400_3,5/11/2017 00:00,12,53.694,125,NA,0,NA,NA,A.SPRING,Age0-2,0,0,Biomass_KG,71,0,0.0384,0,0.0494,0,0.597,0.5473,-121,8.920000076,1.063776016,ROUGH,121,deep,-70.449532,42.889958
NEFSC BTS_WGOM_FALL,NEFSC BTS,WGOM,WGOM,1400,2021,202104_1400_1,11/11/2021 00:00,0,0,102,NA,11.6,NA,NA,B.FALL,Age0-2,0,0,Biomass_KG,80,0,0.0384,0,0.0496,0,0.6968,0.6233,-98,11.64999962,0.806939781,SMOOTH,98,shallow,-70.479167,42.892
NEFSC BTS_WGOM_FALL,NEFSC BTS,WGOM,WGOM,1270,2018,201804_1270_2,11/1/2018 00:00,6,18.955,117,NA,8.4,NA,NA,B.FALL,Age0-2,0,0,Biomass_KG,74,0,0.0384,1,0.5003,0,0.6507,0.9298,-119,11.31999969,1.260672927,ROUGH,119,deep,-70.056053,42.895048
NEFSC BTS_WGOM_FALL,NEFSC BTS,WGOM,WGOM,1400,2017,201704_1400_3,11/2/2017 00:00,1,1.029,75,NA,8.1,NA,NA,B.FALL,Age0-2,0,0,Biomass_KG,72,0,0.0384,0,0.0506,0,0.6531,0.651,-75,11.71000004,-0.239788398,SMOOTH,75,shallow,-70.430107,42.919305
NEFSC BTS_WGOM_SPRING,NEFSC BTS,WGOM,WGOM,1370,2021,202102_1370_5,5/23/2021 00:00,0,0,188,NA,6.7,NA,NA,A.SPRING,Age0-2,0,0,Biomass_KG,79,0,0.0384,0,0.4003,0,0.9007,1,-183,11.90999985,0.943542778,ROUGH,183,deep,-69.079,42.9235
NEFSC BTS_WGOM_SPRING,NEFSC BTS,WGOM,WGOM,1260,2016,201602_1260_5,6/2/2016 00:00,22,48.308,80,NA,5.7,NA,NA,A.SPRING,Age0-2,0,0,Biomass_KG,69,0,0.0384,1,0.45,0,0.6999,1,-80,13.35999966,1.041740894,ROUGH,80,shallow,-70.061132,42.927492
NEFSC BTS_WGOM_FALL,NEFSC BTS,WGOM,WGOM,1270,2021,202104_1270_5,11/11/2021 00:00,1,4.024,140,NA,9.9,NA,NA,B.FALL,Age0-2,0,0,Biomass_KG,80,0,0.0384,0,0.15,0,0.6994,0.6892,-157,11.64999962,0.93983835,SMOOTH,157,deep,-70.283667,42.931167
NEFSC BTS_WGOM_SPRING,NEFSC BTS,WGOM,WGOM,1270,2016,201602_1270_1,6/2/2016 00:00,1,1.378,140,NA,6.1,NA,NA,A.SPRING,Age0-2,0,0,Biomass_KG,69,0,0.0384,0,0.4499,0,0.6995,0.9225,-145,13.11999989,1.199946284,ROUGH,145,deep,-69.999307,42.931217
NEFSC BTS_WGOM_SPRING,NEFSC BTS,WGOM,WGOM,1270,2018,201802_1270_5,5/10/2018 00:00,2,9.631,135,NA,0,NA,NA,A.SPRING,Age0-2,0,0,Biomass_KG,73,0,0.0384,0,0.0503,0,0.6505,0.6388,-75,9.449999809,1.126930237,ROUGH,75,shallow,-70.367518,42.932018
NEFSC BTS_WGOM_SPRING,NEFSC BTS,WGOM,WGOM,1270,2019,201902_1270_1,5/10/2019 00:00,0,0,174,NA,0,NA,NA,A.SPRING,Age0-2,0,0,Biomass_KG,75,0,0.0384,0,0.1497,0,0.8001,0.7791,-150,9.319999695,0.534478962,SMOOTH,150,deep,-70.236,42.940833
NEFSC BTS_WGOM_FALL,NEFSC BTS,WGOM,WGOM,1370,2016,201604_1370_7,10/25/2016 00:00,0,0,172,NA,7.5,NA,NA,B.FALL,Age0-2,0,0,Biomass_KG,70,0,0.0384,0,0.3004,0,0.9056,1,-157,12.55999947,0.898486733,SMOOTH,157,deep,-69.275563,42.94851
NEFSC BTS_WGOM_SPRING,NEFSC BTS,WGOM,WGOM,1400,2021,202102_1400_3,4/25/2021 00:00,1,0.275,108,NA,6.1,NA,NA,A.SPRING,Age0-2,0,0,Biomass_KG,79,0,0.0384,0,0.1991,0,0.7487,0.739,-101,6.849999905,0.719038427,SMOOTH,101,shallow,-70.4485,42.9545
