"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1982","Stratum_1"," [counts*km2/km2]",85070.8185441219,16791.5524836049,0.197383224600055
"2","1982","Stratum_1"," [counts*km2/km2]",256797.602135591,34245.6150568234,0.133356444032299
"3","1982","Stratum_1"," [counts*km2/km2]",76755.7344908324,14166.4524744354,0.184565395255613
"4","1982","Stratum_1"," [counts*km2/km2]",262878.387755343,64691.0389721033,0.246087323969402
"1","1983","Stratum_1"," [counts*km2/km2]",81249.3880576585,19589.6368279109,0.241105038403602
"2","1983","Stratum_1"," [counts*km2/km2]",260081.542415573,38792.9637726309,0.14915692752485
"3","1983","Stratum_1"," [counts*km2/km2]",48675.9838535386,8932.75672175108,0.183514661945589
"4","1983","Stratum_1"," [counts*km2/km2]",244283.855658768,51289.6853635905,0.209959373800107
"1","1984","Stratum_1"," [counts*km2/km2]",54383.8731797562,11041.5587971864,0.203030018856701
"2","1984","Stratum_1"," [counts*km2/km2]",147299.312503305,22788.4213616818,0.154708266959295
"3","1984","Stratum_1"," [counts*km2/km2]",28575.2616060375,6109.82736229093,0.213815273033232
"4","1984","Stratum_1"," [counts*km2/km2]",129787.881852427,30109.5023310904,0.231990089531825
"1","1985","Stratum_1"," [counts*km2/km2]",69773.6066922627,14982.96830439,0.21473690432075
"2","1985","Stratum_1"," [counts*km2/km2]",202709.465516714,32418.4655290653,0.159925760972381
"3","1985","Stratum_1"," [counts*km2/km2]",79115.2527190982,14189.3330108998,0.179350157184981
"4","1985","Stratum_1"," [counts*km2/km2]",147256.507109697,31353.6098045535,0.212918331555951
"1","1986","Stratum_1"," [counts*km2/km2]",129015.146949601,20912.6676771834,0.162094670057252
"2","1986","Stratum_1"," [counts*km2/km2]",148243.30822673,20792.7325124571,0.1402608506325
"3","1986","Stratum_1"," [counts*km2/km2]",51908.8265071167,8827.64091851445,0.17006049861875
"4","1986","Stratum_1"," [counts*km2/km2]",106607.740663978,24721.857187138,0.231895517465847
"1","1987","Stratum_1"," [counts*km2/km2]",107309.847770329,17479.4398277318,0.16288756522274
"2","1987","Stratum_1"," [counts*km2/km2]",242118.359174928,26649.1292269648,0.110066536539309
"3","1987","Stratum_1"," [counts*km2/km2]",32658.2302898903,5387.91015176772,0.164978631846919
"4","1987","Stratum_1"," [counts*km2/km2]",460058.459038059,96116.3705535801,0.208922080803711
"1","1988","Stratum_1"," [counts*km2/km2]",128939.863342697,22728.2061210541,0.17626981704368
"2","1988","Stratum_1"," [counts*km2/km2]",390917.850839871,42190.5109524083,0.107926795519221
"3","1988","Stratum_1"," [counts*km2/km2]",65319.792904118,7717.08906499729,0.118143195529188
"4","1988","Stratum_1"," [counts*km2/km2]",294626.242929522,64026.9627886238,0.217315885211012
"1","1989","Stratum_1"," [counts*km2/km2]",126104.341497315,20958.4351761661,0.166199156407413
"2","1989","Stratum_1"," [counts*km2/km2]",402660.130576942,41512.2722789885,0.103095064861546
"3","1989","Stratum_1"," [counts*km2/km2]",49882.9414116315,5726.62806902702,0.11480133101557
"4","1989","Stratum_1"," [counts*km2/km2]",281001.193365152,49752.870238622,0.177055725788217
"1","1990","Stratum_1"," [counts*km2/km2]",56265.9500790965,10004.1979037176,0.177801990185079
"2","1990","Stratum_1"," [counts*km2/km2]",447531.905929508,46226.4900153206,0.10329205449455
"3","1990","Stratum_1"," [counts*km2/km2]",145268.190499331,14809.8169441669,0.101948106417938
"4","1990","Stratum_1"," [counts*km2/km2]",255635.444483025,43400.2548904489,0.169774011496011
"1","1991","Stratum_1"," [counts*km2/km2]",77656.3915985929,11706.743109433,0.150750541822047
"2","1991","Stratum_1"," [counts*km2/km2]",294709.762209489,32012.4662813269,0.108623705035503
"3","1991","Stratum_1"," [counts*km2/km2]",108788.728319011,12666.6005765633,0.116433023643956
"4","1991","Stratum_1"," [counts*km2/km2]",113533.869293165,30226.4456886505,0.266232850838549
"1","1992","Stratum_1"," [counts*km2/km2]",61808.857037852,11321.7142157369,0.183173007208391
"2","1992","Stratum_1"," [counts*km2/km2]",269912.376375198,29935.9877152535,0.110910022420166
"3","1992","Stratum_1"," [counts*km2/km2]",84821.9776639596,10406.9643494323,0.12269183808307
"4","1992","Stratum_1"," [counts*km2/km2]",87117.9450019508,18989.8877189907,0.217979059521726
"1","1993","Stratum_1"," [counts*km2/km2]",76166.4747971509,14685.1168206251,0.1928028947084
"2","1993","Stratum_1"," [counts*km2/km2]",213484.674281379,28985.9633943387,0.135775382902355
"3","1993","Stratum_1"," [counts*km2/km2]",67113.8712296711,9138.53903875871,0.136164683564231
"4","1993","Stratum_1"," [counts*km2/km2]",370428.763091192,77968.1670900527,0.210480866656833
"1","1994","Stratum_1"," [counts*km2/km2]",61915.5805090729,10581.4432608439,0.170901139484485
"2","1994","Stratum_1"," [counts*km2/km2]",165943.759824169,20688.8400195875,0.124673805399546
"3","1994","Stratum_1"," [counts*km2/km2]",32609.1213700642,6001.2741275848,0.184036670583038
"4","1994","Stratum_1"," [counts*km2/km2]",189650.048568504,41340.9651278409,0.217985523546587
"1","1995","Stratum_1"," [counts*km2/km2]",27334.6286731382,5592.23146223063,0.204584138643381
"2","1995","Stratum_1"," [counts*km2/km2]",200410.241740289,25762.086220238,0.12854675487904
"3","1995","Stratum_1"," [counts*km2/km2]",36313.0438246186,5818.7275467988,0.160237945761351
"4","1995","Stratum_1"," [counts*km2/km2]",117882.548863953,22836.6331042137,0.193723611546347
"1","1996","Stratum_1"," [counts*km2/km2]",40928.3528921261,8588.84722352982,0.209850790872705
"2","1996","Stratum_1"," [counts*km2/km2]",219078.182420985,22465.1085090403,0.10254379628671
"3","1996","Stratum_1"," [counts*km2/km2]",67258.2499976163,8982.14403223093,0.133547096936797
"4","1996","Stratum_1"," [counts*km2/km2]",95365.1993005698,21400.4487176804,0.224405221974432
