"","Time","Category","Index_Region","Index_Estimate","Index_SD","Date","Year"
"71",1999,1,"SNE",15417.2260969146,248194.661917871,1999-05-10,1999
"72",1999,1,"WGOM",10507.7093250308,166075.024956487,1999-06-22,1999
"73",2000,1,"EGOM",3735.33157167196,61641.6172562178,2000-05-26,2000
"74",2000,1,"GBK",9876.18649429892,171440.601775506,2000-07-17,2000
"75",2000,1,"SNE",18909.3386097535,304471.167097254,2000-06-09,2000
"76",2000,1,"WGOM",12887.7810048875,203732.913490484,2000-05-05,2000
"77",2001,1,"EGOM",4021.93291735004,66370.2682473486,2001-07-09,2001
"78",2001,1,"GBK",10633.9581365542,184592.40136266,2001-06-13,2001
"79",2001,1,"SNE",20360.1982690506,327827.522935553,2001-05-22,2001
"80",2001,1,"WGOM",13876.6237107981,219361.393047672,2001-05-28,2001
"81",2002,1,"EGOM",4524.10048105344,74667.9665297945,2002-07-15,2002
"82",2002,1,"GBK",11961.6851175093,207667.471354333,2002-05-28,2002
"83",2002,1,"SNE",22902.3170391528,368815.661010291,2002-05-15,2002
"84",2002,1,"WGOM",15609.2210624892,246789.472334611,2002-06-26,2002
"85",2003,1,"EGOM",4196.46187054245,69244.0158652526,2003-06-07,2003
"86",2003,1,"GBK",11095.4112786139,192586.714464787,2003-06-03,2003
"87",2003,1,"SNE",21243.7147681345,342020.45588601,2003-05-17,2003
"88",2003,1,"WGOM",14478.7900471989,228857.578749119,2003-05-18,2003
"89",2004,1,"EGOM",4128.07139009895,68116.4960274024,2004-05-31,2004
"90",2004,1,"GBK",10914.5874009113,189450.513035341,2004-07-15,2004
"91",2004,1,"SNE",20897.5021956824,336451.479861145,2004-06-25,2004
"92",2004,1,"WGOM",14242.8266480031,225131.311687483,2004-07-16,2004
"93",2005,1,"EGOM",4088.9815641674,67482.1328177041,2005-05-13,2005
"94",2005,1,"GBK",10811.2342169912,187683.324518527,2005-05-05,2005
"95",2005,1,"SNE",20699.6180880595,333320.786502075,2005-06-24,2005
"96",2005,1,"WGOM",14107.9574653192,223037.841983534,2005-07-18,2005
"97",2006,1,"EGOM",4879.7134864434,80617.2363601101,2006-05-08,2006
"98",2006,1,"GBK",12901.9230304337,224192.234334229,2006-07-14,2006
"99",2006,1,"SNE",24702.5338616558,398221.450766374,2006-07-09,2006
"100",2006,1,"WGOM",16836.1703835918,266476.479424392,2006-06-19,2006
"101",2007,1,"EGOM",3301.44739788133,54504.0251252955,2007-07-18,2007
"102",2007,1,"GBK",8729.00024454839,151583.167330453,2007-05-18,2007
"103",2007,1,"SNE",16712.8902885814,269221.509994199,2007-07-13,2007
"104",2007,1,"WGOM",11390.7775646287,180148.990776659,2007-06-12,2007
"105",2008,1,"EGOM",1660.15248810717,27382.8161308931,2008-05-17,2008
"106",2008,1,"GBK",4389.42976464652,76162.019125004,2008-06-13,2008
"107",2008,1,"SNE",8404.17642693813,135250.672048169,2008-07-28,2008
"108",2008,1,"WGOM",5727.92034412825,90499.4626108313,2008-06-13,2008
"109",2009,1,"EGOM",891.579614648603,14706.9196947542,2009-07-30,2009
"110",2009,1,"GBK",2357.32929723381,40905.2478740543,2009-05-29,2009
"111",2009,1,"SNE",4513.43622579606,72641.4708707791,2009-06-04,2009
"112",2009,1,"WGOM",3076.1614067021,48606.2859322483,2009-07-13,2009
"113",2010,1,"EGOM",647.746041151969,10685.7035018652,2010-06-11,2010
"114",2010,1,"GBK",1712.63529906589,29720.5530041182,2010-07-20,2010
"115",2010,1,"SNE",3279.07951148428,52779.8172004735,2010-07-24,2010
"116",2010,1,"WGOM",2234.87767149218,35316.4577839067,2010-07-19,2010
"117",2011,1,"EGOM",560.223514911871,9240.21546354253,2011-06-24,2011
"118",2011,1,"GBK",1481.22644686258,25700.6045604039,2011-05-28,2011
"119",2011,1,"SNE",2836.01493933058,45639.7174748812,2011-06-21,2011
"120",2011,1,"WGOM",1932.90417073759,30538.6016455389,2011-05-27,2011
"121",2012,1,"EGOM",601.358267819258,9917.43625874586,2012-05-14,2012
"122",2012,1,"GBK",1589.98640118397,27584.551290601,2012-07-07,2012
"123",2012,1,"SNE",3044.25106413761,48984.3681827826,2012-06-22,2012
"124",2012,1,"WGOM",2074.82883712625,32776.4231311795,2012-06-07,2012
"125",2013,1,"EGOM",564.470126879451,9309.66613872915,2013-07-23,2013
"126",2013,1,"GBK",1492.45445459255,25893.9323736268,2013-06-04,2013
"127",2013,1,"SNE",2857.51252852672,45982.6040682915,2013-07-15,2013
"128",2013,1,"WGOM",1947.55599052943,30767.9579767019,2013-05-22,2013
"129",2014,1,"EGOM",449.506170215397,7415.01077415439,2014-06-20,2014
"130",2014,1,"GBK",1188.49068207303,20623.7527551705,2014-06-23,2014
"131",2014,1,"SNE",2275.5314265105,36624.8140100936,2014-07-10,2014
"132",2014,1,"WGOM",1550.90303790318,24506.6421142452,2014-05-18,2014
"133",2015,1,"EGOM",464.076301101125,7655.11059992923,2015-06-19,2015
"134",2015,1,"GBK",1227.01399040932,21291.6211693517,2015-07-01,2015
"135",2015,1,"SNE",2349.28968149276,37810.6725745427,2015-07-18,2015
"136",2015,1,"WGOM",1601.17344963634,25300.0995400255,2015-07-20,2015
"137",2016,1,"EGOM",573.405862173726,9458.62659963144,2016-05-29,2016
"138",2016,1,"GBK",1516.08046651054,26307.8264724565,2016-07-16,2016
"139",2016,1,"SNE",2902.74782857023,46718.749464594,2016-05-10,2016
"140",2016,1,"WGOM",1978.38639939156,31260.7353067975,2016-07-01,2016
"141",2017,1,"EGOM",488.353271047015,8055.78948179674,2017-07-02,2017
"142",2017,1,"GBK",1291.20210279014,22405.9942406904,2017-05-05,2017
"143",2017,1,"SNE",2472.18678883581,39789.789628261,2017-05-17,2017
"144",2017,1,"WGOM",1684.93476134898,26624.406784381,2017-07-26,2017
"145",2018,1,"EGOM",450.364775605104,7429.62237554894,2018-06-08,2018
"146",2018,1,"GBK",1190.76082778595,20664.2726908344,2018-05-15,2018
"147",2018,1,"SNE",2279.87793758578,36697.0964195996,2018-07-08,2018
"148",2018,1,"WGOM",1553.86543040298,24555.0665410069,2018-06-03,2018
"149",2019,1,"EGOM",490.28584298447,8088.41091636029,2019-06-19,2019
"150",2019,1,"GBK",1296.31180737773,22496.527145171,2019-05-22,2019
"151",2019,1,"SNE",2481.97003202369,39951.10081897,2019-06-27,2019
"152",2019,1,"WGOM",1691.6025934887,26732.4409900935,2019-06-23,2019
"153",2020,1,"EGOM",456.545548422521,7532.87237971502,2020-05-14,2020
"154",2020,1,"GBK",1207.10274117501,20951.1009847984,2020-07-06,2020
"155",2020,1,"SNE",2311.16681350804,37207.3990076497,2020-05-01,2020
"156",2020,1,"WGOM",1575.1905644596,24896.6918794296,2020-05-27,2020
"157",2021,1,"EGOM",581.354668652982,9594.13330551736,2021-06-29,2021
"158",2021,1,"GBK",1537.09704661593,26683.5438771574,2021-07-29,2021
"159",2021,1,"SNE",2942.98700690706,47389.1467718422,2021-06-22,2021
"160",2021,1,"WGOM",2005.81166946177,31709.8866247378,2021-06-03,2021
"161",2022,1,"EGOM",772.350845278781,12755.2081791299,2022-06-25,2022
"162",2022,1,"GBK",2042.08939437961,35472.8146713525,2022-06-08,2022
"163",2022,1,"SNE",3909.86539713491,63005.174101047,2022-07-05,2022
"164",2022,1,"WGOM",2664.79383741488,42160.3433353022,2022-07-30,2022
